TRKLEN,TRACK NAME,FROM_MEASURE,TO_MEASURE
81,A2,3752,3835
171,A2,19390,19560
625,A2,79400,80025
820,A2,72530,73350
194,A1,1250,1444
1176,A1,53626,54275.29
113,A1,38798,38839.54
455,A1,43198,43451.1
259,A1,58053,58075
600,A2,29815,30415
128,A2,19732,19860
600,A2,56272,56872
660,A2,93040,93700
466,A2,43106,43572
281,A2,15443,15724
540,A2,68161,68701
1330,A1,9500,9754.43
790,A1,22031.14,22076
256,A1,80625,80690
342,A1,54800,55119.86
58,G1,54981,55040
371,G1,35389,35760
201,G2,46644,46845
409,G1,54225,54560
360,G1,33337,33697
357,G2,35529,35886
650,G1,59760,60410
103,A2,57883,57964
600,A2,44430,45030
414,A2,300,714
652,A2,18055,18707
1062,A2,76643,77705
171,A1,19560,19732
1325,A1,65860,67185
623,A1,12734.76,12800
438,A2,80625,80690
703,A1,47960,48000.52
1266,A1,49800,49881.39
564,A1,40333.16,40580
103,A2,57964,58053
491,A2,11217.67,11322
1089,A1,67824.28,68285
440,A1,8842.16,9076
491,A2,10833,11219.62
503,A1,56177.33,56272
825,C2,9757,10582
53,K1,77635,77688
870,K1,37989,38859
112,K2,22046,22158
560,C1,47896,48456
139,K2,50841,50981
600,C1,62288,62888
290,C1,37348,37638
117,C1,25538.92,25645
600,C1,29070,29670
92,C1,18678,18770
424,C1,33909,34333
768,C1,8163,8931
1157,C1,42888,44045
63,C1,36184,36247
124,C1,2650,2769
236,C1,560,796
59,C1,25774,25833
165,C1,57443,57608
608,C1,49777,50385
765,C1,51170,51935
407,C1,61250,61657
310,C1,26729,27039
290,C2,32266,32556
200,C1,30558,30758
265,C1,19429,19692
240,C1,45610,45850
59,C2,26433,26492
267,C1,7417,7684
50,C2,25634,25773
232,B1,25804,26036
144,B1,45739,45895
277,B1,44508,44785
510,B1,21220,21730
277,B1,44231,44508
255,B1,9902,10157
130,B2,73154,73284
92,B1,17596,17687
600,B1,62582,63182
420,B1,53600,54020
456,B1,48844,49300
600,B1,10157,10757
347,B2,22755,22858.71
195,B1,53150,53345
144,B1,26036,26180
246,B2,36820,37054.91
90,B1,35044,35134
355,B1,71100,71402.95
749,B2,65908.33,66125
715,B1,40894,41609
741,B1,66125,66866
175,B1,37436,37611
500,B1,7753,7873.78
803,B2,69757,70560
656,B1,22825.49,23353
435,B1,26180,26615
438,B1,16924,17362
130,B1,73025,73153
226,A2,7420,7646
280,A2,26300,26580
1240,A2,89226,90466
399,A2,61523,61922
640,A2,14000,14640
1125,A2,58825,59950
1270,A2,9563,10833
337,A2,28333,28670
516,A2,37869,38385
522,A2,45310,45832
104,E1,27436,27549
662,E2,60838,61500
1009,E2,63950,64949.64
59,D1,59950,60009
152,D1,8572,8724
205,D1,42871,43076
337,D1,12329,12666
600,D1,20546,21146
59,D1,14107,14166
91,D1,27959,28050
599,E1,10541,11140
635,E2,38850,39485
293,E1,13087,13380
438,E2,33712,34150
167,E1,2442,2608
300,E1,54200,54500
166,E2,7522,7688
1120,E1,55550,56660
520,E1,11140,11660
598,E2,53822,54420
600,E2,53222,53822
890,E2,26600,27490
214,A2,93914,94128
55,E1,66147,66200
774,E2,64949.64,65723
